,refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,grouped_title
126,REF061195572,1,학술지(정기간행물),"인터페이스의 거울-1990년대 한국소설과 영화에 나타난 컴퓨터, PC, 네트워크 표상 연구",조형래,인문과학연구논총,2017,38,1,,257-289,인문과학연구소,http://dx.doi.org/10.22947/ihmju.2017.38.1.010,ART002199151,,,,ART002796812,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
532,REF064216016,1,학술지(정기간행물),1990년대 연애소설 일고: 양귀자의 『천년의 사랑』을 중심으로,이은자,숙명어문논집,1998,1,,,217-240,숙명여자대학교,,,,,,ART002910010,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
542,REF064216026,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002910010,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
1748,REF052783563,3,단행본,한국현대사산책 1990년대편 1권,강준만,,2006,,,,-,인물과사상사,,,,,,ART002525358,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
1771,REF052783586,1,학술지(정기간행물),역사 속의 신세대 1990년대—궁핍한 정신 풍요의 구가,정유성,역사비평,1996,,,,155-165,역사문제연구소,,,,,,ART002525358,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
1772,REF052783587,5,학위논문,1990년대 여성작가 소설에 대한 비평담론 연구,정정희,,2000,,,,,,,,석사,이화여자대학교 대학원,여성학,ART002525358,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
1775,REF052783590,1,학술지(정기간행물),"자유와 소비의 시대, 그리고 냉소주의의 시작: 대한민국, 1990년대 일상생활의 조건",주은우,사회와역사(구 한국사회사학회논문집),2010,,88,,307-344,한국사회사학회,,ART001516167,,,,ART002525358,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
2642,REF052650853,1,학술지(정기간행물),박완서와 근대문학사 -서사의 힘으로 1990년대에 맞선 작가-,이상경,여성문학연구,2011,,25,,7-27,한국여성문학학회,,ART001566244,,,,ART002551832,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
3235,REF047890309,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002427778,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
3852,REF047070604,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002341689,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
4272,REF044516380,1,학술지(정기간행물),"인터페이스의 거울-1990년대 한국소설과 영화에 나타난 컴퓨터, PC, 네트워크 표상 연구",조형래,인문과학연구논총,2017,38,1,,257-289,인문과학연구소,,ART002199151,,,,ART002285312,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
4295,REF043749772,1,학술지(정기간행물),한국사회의 압축적 개인화와 젠더범주의 민주주의적 함의 - 1990년대를 중심으로,홍찬숙,여성과 역사,2012,,17,,1-25,한국여성사학회,,ART001723965,,,,ART002279293,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
